Compound / Fluid,Notes / Source,HDPE,LDPE,PA,PC,PETG,PMP,POM,PP,PS,PSU,PVC-H,PVC-S,SAN,ECTFE-ETFE,FEP,PTFE,PVDF
Ammonium fluoride,(NH )F · 012125-01-8 · saturated,1,1,1,4,2,1,2,1,x,x,1,x,x,x,1,1,1
Ammonium fluoride,(NH )F · 012125-01-8 · aqueous,1,1,1,3,2,x,2,1,x,x,x,x,x,x,1,1,1
Ammonium glycolate,C H NO · 035249-89-9,1,1,1,2,2,1,2,1,1,2,1,x,x,1,1,1,1
Ammonium heptamolybdate,(NH ) Mo O · 012054-85-2,1,1,1,2,2,x,1,1,1,x,x,x,1,x,1,1,1
Ammonium hydroxide,NH + H O · 001336-21-6 · 30 %,1,1,3,4,2,1,1,1,2,2,1,x,x,1,1,1,2
Ammonium hydroxide,NH + H O · 001336-21-6 · 5 %,1,1,2,3,2,1,1,1,1,2,1,x,x,1,1,1,2
Ammonium hydroxide,NH + H O · 001336-21-6,1,1,3,4,2,1,1,1,2,2,1,1,2,1,1,1,1
Ammonium nitrate,(NH )NO · 006484-52-2 · 10 %,1,x,1,1,2,x,2,1,1,1,1,x,x,1,1,1,1
Ammonium nitrate,(NH )NO · 006484-52-2 · saturated,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1
Ammonium nitrite,(NH )NO · 013446-48-5 · aqueous,1,1,2,2,2,x,2,1,x,x,x,x,x,x,1,1,1
Ammonium oxalate,C H N O · 014258-49-2,1,1,1,1,2,1,2,1,1,1,1,x,x,1,1,1,1
Ammonium persulfate,(NH ) S O · 007727-54-0 · saturated,x,x,4,2,x,x,2,1,x,x,1,x,x,x,1,1,1
Ammonium persulfate,(NH ) S O · 007727-54-0 · aqueous,x,x,4,2,x,x,2,1,x,x,x,x,x,x,1,1,1
"Ammonium phosphate, Mono-",(NH )H PO · 007722-76-1 · each,1,1,1,2,2,1,2,1,1,1,1,1,x,1,1,1,1
Ammonium polyphosphate (APP),(NH PO ) · 068333-79-9,1,1,1,2,2,x,1,1,x,x,x,x,x,1,1,1,1
Ammonium sulfate,(NH 4 ) 2 SO 4 · 007783-20-2 · 10 %,1,1,1,1,2,1,1,1,1,1,1,x,x,1,1,1,1
Ammonium sulfate,(NH 4 ) 2 SO 4 · 007783-20-2 · saturated,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1
Ammonium sulfide,(NH 4 ) 2 S · 012135-76-1 · each,1,1,1,4,x,1,2,1,x,x,1,1,x,x,1,1,1
Ammonium sulfide,(NH 4 ) 2 S · 012135-76-1 · aqueous,1,1,1,3,x,x,2,1,x,x,x,x,x,x,1,1,1
Ammonium thiocyanate,CH 4 N 2 S · 001762-95-4,1,1,3,1,2,1,1,1,1,x,1,x,1,1,1,1,1
Amomum,— · —,x,x,2,2,2,x,2,2,4,x,x,x,1,x,1,1,1
"Amyl acetate, normal",C H O · 000628-63-7,1,2,2,4,1,2,1,3,4,4,4,4,4,1,1,1,1
Amyl chloride,C H Cl · 000543-59-9,3,4,1,4,x,4,2,4,4,4,4,4,x,1,1,1,1
Amyl cinnamic aldehyde,C H O · 000122-40-7,x,x,x,4,x,4,3,3,x,x,x,x,4,x,1,1,2
Aniline,C H N · 000062-53-3,1,1,3,4,x,2,1,2,4,4,4,4,x,2,1,1,1
Aniline hydrochloride,C H ClN · 000142-04-1 · saturated,1,x,3,3,x,x,3,1,x,x,1,x,x,x,1,1,1
Anise,— · —,x,x,2,2,2,x,2,2,x,x,x,x,1,x,1,1,1
Anise oil,— · 084775-42-8,x,x,3,3,x,4,2,3,x,x,x,x,4,x,1,1,3
Anisole,C H O · 000100-66-3 · 100 %,1,3,1,4,x,2,2,3,4,x,x,x,x,x,1,1,3
Antifreeze agent (car),— · —,1,1,3,1,1,x,1,1,1,x,x,x,x,x,1,1,1
